drug_name,num_prescriber,total_cost
HUMALOG MIX 75-25,36,375422.37999999995
MOEXIPRIL HCL,8,5612.379999999999
VIVITROL,1,28152.96
CIALIS,15,92473.76000000001
OXAZEPAM,11,8368.150000000001
PROVENTIL HFA,26,37665.66999999999
THEO-24,5,10368.39
ARANESP,7,113881.18000000001
TENORMIN,1,2807.78
HYDROCODONE-IBUPROFEN,22,14245.359999999999
GRALISE,8,44265.68000000001
KOMBIGLYZE XR,30,233064.77
EPLERENONE,13,41548.12
ZORTRESS,1,27855.69
LEVOCARNITINE,4,2778.54
TESTIM,3,32745.76
TROSPIUM CHLORIDE,10,19354.44
PROBENECID-COLCHICINE,7,4020.12
SUBOXONE,26,578915.37
HYDROCORTISONE VALERATE,9,39898.1
BENAZEPRIL-HYDROCHLOROTHIAZIDE,56,79017.02999999998
DURAGESIC,1,21657.05
LAMIVUDINE-ZIDOVUDINE,5,43606.79
HUMALOG MIX 75-25 KWIKPEN,44,692675.2200000001
BYDUREON PEN,11,139143.78
PEN NEEDLE,13,3984.8799999999997
XANAX,5,17078.4
ATROVENT HFA,32,172729.63999999998
GAVILYTE-C,10,13119.38
COREG CR,20,71961.47
PROPAFENONE HCL ER,16,139539.47
CORLANOR,1,6013.68
SULFACETAMIDE SODIUM,2,855.41
PINDOLOL,10,9400.680000000002
MYCOPHENOLIC ACID,4,81594.34
THIORIDAZINE HCL,20,11690.21
MIMVEY,3,4632.38
TRACLEER,4,759445.38
PALIPERIDONE ER,3,30911.210000000003
SOTALOL AF,9,3910.8100000000004
LEVOBUNOLOL HCL,12,6343.71
AMPICILLIN TRIHYDRATE,10,1781.65
MEROPENEM,6,14160.65
UROXATRAL,2,23669.7
DICLOFENAC SODIUM-MISOPROSTOL,13,36130.79
CORGARD,1,2782.15
SULINDAC,20,10528.200000000003
BEPREVE,7,285698.79000000004
HYDROMORPHONE ER,5,81628.16
TEKTURNA,20,66596.13
VALIUM,2,11762.27
BETAMETHASONE VALERATE,26,27214.3
EDECRIN,3,64612.06
EMSAM,2,66890.85
CALCIPOTRIENE,15,136975.98
ALCOHOL PADS,16,11196.03
PEG-3350 AND ELECTROLYTES,11,3540.36
ALCOHOL PREP PADS,40,41995.340000000004
TRIUMEQ,8,257585.36000000002
METAXALONE,11,40630.54
VIVELLE-DOT,9,14310.079999999998
PREVACID,10,81896.85
SELZENTRY,10,552599.04
FORADIL,12,50404.26
AFEDITAB CR,6,2776.99
CIPRODEX,14,68371.05
SYMLINPEN 120,2,23009.16
ACTONEL,13,79519.15000000001
POLYMYXIN B SUL-TRIMETHOPRIM,6,1971.79
GLEEVEC,16,3897582.6900000004
CABERGOLINE,8,20191.609999999997
MEXILETINE HCL,10,24179.130000000005
CARBIDOPA-LEVODOPA-ENTACAPONE,12,93653.7
APIDRA SOLOSTAR,7,38910.009999999995
LEVETIRACETAM ER,19,31333.750000000007
EASY TOUCH ALCOHOL PREP PADS,2,93.07
TRETINOIN,8,20618.7
PROSOL,6,34399.59
DUEXIS,1,21327.97
PROLASTIN C,5,839539.63
PENTOXIFYLLINE,31,18193.02
REBIF,7,860960.6500000001
BUDESONIDE,18,117609.57
SYMLINPEN 60,2,14971.57
PROSCAR,1,1777.01
IMIQUIMOD,10,23502.89
JENTADUETO,18,185904.15000000002
HUMIRA PEN,40,5678270.859999999
ISRADIPINE,1,657.6
UNIFINE PENTIPS,30,21206.439999999995
SAPHRIS,21,317406.01999999996
CELEXA,3,7347.48
DESVENLAFAXINE ER,3,5646.17
ILEVRO,15,497953.7299999999
NATEGLINIDE,32,59277.94
PROLENSA,13,106161.70999999999
SAFETYGLIDE INSULIN SYRINGE,1,607.2
MESTINON,4,97170.75
VIGAMOX,23,183092.93999999997
KERYDIN,2,27307.78
ASMANEX,30,163512.86000000002
ELMIRON,11,107613.38999999998
LOPERAMIDE,38,14168.490000000002
METHYLPHENIDATE ER,18,88157.73000000001
CARTEOLOL HCL,5,1244.05
EMTRIVA,5,53925.69
ALVESCO,4,26130.010000000002
CYPROHEPTADINE HCL,13,7136.19
SOVALDI,1,505234.0
ZAFIRLUKAST,17,22346.260000000006
ANDRODERM,1,10166.44
TOPAMAX,10,345115.31
ENTACAPONE,21,106267.42000000003
VIMOVO,2,278454.32
BETASERON,5,336071.62999999995
HUMULIN 70/30 KWIKPEN,9,108536.43
ASPIRIN-DIPYRIDAMOLE ER,8,54750.71
PROTONIX,13,60301.329999999994
BROMOCRIPTINE MESYLATE,8,15281.730000000001
SPS,12,15081.160000000002
TIMOPTIC OCUDOSE,3,15813.16
NEVIRAPINE,2,2356.7
OFEV,5,602129.36
HYDROXYUREA,47,43502.18
TIKOSYN,8,79001.63
FLUNISOLIDE,9,6873.240000000002
TAZTIA XT,19,10667.68
AVONEX ADMINISTRATION PACK,3,169300.11000000002
CEFTAZIDIME,2,4558.2
MINI ULTRA-THIN II,1,327.36
FARXIGA,15,126780.06000000001
TOUJEO SOLOSTAR,7,90437.67
CLINISOL,2,6426.93
TRAVOPROST,2,3137.5
REVLIMID,23,9823829.19
STAVUDINE,3,2642.66
NOVOLOG MIX 70-30,28,299909.18000000005
GLUCAGEN,8,40337.729999999996
FLUOXETINE DR,2,2903.32
AUTOSHIELD DUO PEN NEEDLE,14,16055.970000000001
CLOMIPRAMINE HCL,5,55554.28
PIROXICAM,18,26907.85
DEXTROSE 5%-0.45% NACL,4,912.82
SEREVENT DISKUS,20,119519.57999999999
BUPRENORPHINE HCL,11,44211.2
ALREX,8,27602.539999999997
GLYBURIDE MICRONIZED,2,540.55
TRIVORA-28,1,346.84
SUMATRIPTAN,4,18609.77
DUTASTERIDE,11,38423.26
HUMALOG MIX 50-50,4,73365.04
PROPRANOLOL-HYDROCHLOROTHIAZID,6,3602.99
ALCOHOL SWABS,5,236.38
KEPPRA,5,61373.3
LEVORPHANOL TARTRATE,1,2298.34
EVOTAZ,1,33833.56
ENPRESSE,1,239.52
PRINIVIL,2,4122.5
NORVASC,4,7136.18
OXAPROZIN,9,17840.850000000002
RISPERDAL,3,39118.63
PHENELZINE SULFATE,1,642.12
COMFORT EZ,2,1514.7
DYMISTA,11,68030.40000000001
TRICOR,3,9313.15
FOLIC ACID,10,1029.0500000000002
MERCAPTOPURINE,6,9357.279999999999
PROTONIX IV,1,626.97
SIMCOR,4,17426.09
RISPERDAL M-TAB,1,4907.07
ADDERALL XR,2,6035.88
LEVALBUTEROL HCL,4,10814.869999999999
SF,2,248.56
ESTRADIOL-NORETHINDRONE ACETAT,4,5175.43
EASY TOUCH,8,3351.7
CEFPODOXIME PROXETIL,10,17909.98
DANTROLENE SODIUM,7,7468.990000000001
SODIUM CHLORIDE,18,8851.91
SSD,11,3674.7599999999993
REBIF REBIDOSE,3,330431.19
FORTICAL,3,4579.889999999999
DELZICOL,7,65270.18
NUCYNTA,13,171469.86000000002
CHLORZOXAZONE,6,2385.68
DEXMETHYLPHENIDATE HCL,2,1279.97
COSOPT PF,5,23331.53
COSOPT,5,18123.07
AVASTIN,1,297823.78
DEPAKOTE ER,11,56300.990000000005
DESOXIMETASONE,17,57971.520000000004
FLECTOR,3,21601.66
FIORINAL WITH CODEINE #3,1,14125.62
NEURONTIN,3,19673.73
ONFI,4,184977.25
NEOMYCIN-POLYMYXIN B,1,641.68
EVISTA,5,17462.21
NALTREXONE HCL,9,8122.2300000000005
NUCYNTA ER,4,49844.770000000004
ELIPHOS,1,7246.22
ALCOHOL WIPES,1,121.1
LAMOTRIGINE ER,4,125251.53
ZYDELIG,1,104855.77
MOXIFLOXACIN HCL,7,13127.81
WELLBUTRIN XL,5,120261.74
TYLENOL-CODEINE NO.4,1,1783.52
OMEPRAZOLE-SODIUM BICARBONATE,3,60014.44
MYFORTIC,2,77713.57
ACEBUTOLOL HCL,11,2934.68
NEVANAC,16,217046.05
AMLODIPINE-VALSARTAN-HCTZ,5,18915.880000000005
DICLOXACILLIN SODIUM,1,352.97
SELENIUM SULFIDE,4,1240.9099999999999
DEMECLOCYCLINE HCL,2,6555.6
NEFAZODONE HCL,4,6679.120000000001
ESTROPIPATE,4,1521.76
ARMOUR THYROID,29,13732.63
CANASA,4,54352.8
MATZIM LA,7,7500.019999999999
PROZAC,4,26131.34
TRILEPTAL,5,41922.07000000001
LANOXIN,3,8142.099999999999
CEVIMELINE HCL,6,40990.51
LESCOL XL,5,16702.37
GLUCOPHAGE XR,1,1472.06
GEODON,3,44639.75
CLINDAMYCIN-BENZOYL PEROXIDE,1,3275.69
ZOSYN,1,3684.22
LORAZEPAM INTENSOL,3,1748.25
NEXAVAR,5,883703.4600000001
JAKAFI,7,1335282.84
ADEFOVIR DIPIVOXIL,1,5443.79
BOTOX,3,81453.23999999999
PULMICORT FLEXHALER,5,11678.11
MEPERIDINE HCL,8,6240.8099999999995
BUTALBITAL COMPOUND-CODEINE,3,4598.82
VOTRIENT,4,373394.72
HALOBETASOL PROPIONATE,7,62874.28999999999
SINGULAIR,6,18159.760000000002
XALKORI,2,294348.74
ZOLMITRIPTAN,2,2254.3
HUMULIN N KWIKPEN,5,37696.34
ISTALOL,4,15999.2
ZYPREXA ZYDIS,2,9579.380000000001
UCERIS,3,86117.07
CHOLESTYRAMINE LIGHT,7,10795.98
AFINITOR,4,949206.85
PENTASA,12,131354.25
BOOSTRIX TDAP,7,11441.609999999999
EMEND,1,7679.0
ETODOLAC ER,4,13333.89
DISULFIRAM,4,4780.52
MIMVEY LO,1,1505.14
TIAGABINE HCL,3,8587.02
TRAMADOL HCL ER,13,28236.06
RIBASPHERE,1,5585.17
TERBUTALINE SULFATE,2,1712.0
SPRYCEL,4,611101.29
ACCUPRIL,3,5185.51
NEOMYCIN-POLYMYXIN-GRAMICIDIN,1,625.51
THIOTHIXENE,19,22800.91
ESTAZOLAM,9,5538.4
NEUPOGEN,3,73899.45999999999
FLUVOXAMINE MALEATE ER,4,13730.609999999999
GABITRIL,3,31239.519999999997
STRIBILD,9,815410.8300000001
MAPROTILINE HCL,1,327.99
ACITRETIN,3,71253.38
OSENI,1,3626.65
CHLORDIAZEPOXIDE-AMITRIPTYLINE,3,2677.24
SODIUM BICARBONATE,2,2440.45
ACETYLCYSTEINE,3,1392.71
ABILIFY MAINTENA,7,373649.89999999997
MOEXIPRIL-HYDROCHLOROTHIAZIDE,3,1558.58
KRISTALOSE,4,13591.580000000002
CYCLOPENTOLATE HCL,2,585.03
XYREM,3,366629.3
DESIPRAMINE HCL,5,6323.63
PHENADOZ,2,4130.44
NEOMYCIN SULFATE,3,1901.56
DOXERCALCIFEROL,2,5599.37
HYSINGLA ER,3,14932.239999999998
OXANDROLONE,1,17484.09
BELSOMRA,1,5212.92
CIMETIDINE,6,2340.31
ETHAMBUTOL HCL,8,10497.62
AZASITE,7,39876.03999999999
JUNEL FE,3,897.27
INVIRASE,1,13555.83
HUMIRA,11,1209140.9200000002
CLINDAMYCIN PALMITATE HCL,1,4296.82
GAMASTAN S-D,1,873.04
ARALAST NP,2,251281.97
ANAGRELIDE HCL,10,27865.76
ACTIMMUNE,1,418409.62
PROTRIPTYLINE HCL,1,5115.71
FOSAMAX PLUS D,1,2153.8
ORTHO TRI-CYCLEN LO,3,4792.6900000000005
MISOPROSTOL,9,4733.860000000001
BUTALBITAL-ASPIRIN-CAFFEINE,6,5125.0
OLOPATADINE HCL,3,9421.25
CROMOLYN SODIUM,4,1336.4099999999999
MICARDIS HCT,3,6495.97
MIRAPEX,1,6528.63
TASIGNA,4,426393.31
FOSAMAX,1,1382.58
IMIPENEM-CILASTATIN SODIUM,1,1336.39
ENTECAVIR,3,62919.32
TRUEPLUS INSULIN SYRINGE,5,1857.99
TROKENDI XR,1,22300.3
ZYPREXA,4,60116.09
REGRANEX,1,13932.11
LOTREL,1,2274.69
HALOPERIDOL DECANOATE 100,8,15312.179999999998
BETAXOLOL HCL,3,2349.31
PRENATAL PLUS,5,925.55
GLUMETZA,3,203015.24
MYCAMINE,1,36326.32
METHYLPHENIDATE HCL CD,1,572.04
CARAC,2,44192.119999999995
PROGRAF,3,47024.41
ADEMPAS,3,468920.1
APIDRA,2,8930.369999999999
RAPAMUNE,2,29310.520000000004
PROBENECID,8,3872.0599999999995
TANZEUM,3,46778.6
GATTEX,2,1865301.25
DIPYRIDAMOLE,7,2095.25
OXYMORPHONE HCL,4,24272.030000000002
OXISTAT,1,11854.53
PIOGLITAZONE-GLIMEPIRIDE,1,3961.17
XALATAN,4,12454.43
CUBICIN,4,151927.61
TARKA,2,5524.98
DONEPEZIL HCL ODT,6,6206.639999999999
AMARYL,2,4402.78
MESALAMINE,2,10279.84
TROSPIUM CHLORIDE ER,8,20748.170000000002
FARESTON,1,18456.88
K-SOL,1,1317.99
POMALYST,3,425533.18000000005
GRANISETRON HCL,1,371.47
LACRISERT,2,14122.38
FIORICET,1,3848.29
KLONOPIN,3,7357.16
NISOLDIPINE,6,18575.33
SPRINTEC,5,629.52
HIZENTRA,2,159726.87
K EFFERVESCENT,1,315.7
COREG,2,5101.37
SEVELAMER CARBONATE,1,13639.71
TERCONAZOLE,4,6048.73
DEXTROSE IN WATER,3,4345.79
OCELLA,1,769.52
FETZIMA,10,67496.96999999999
METHYLDOPA,7,1611.07
SOLU-CORTEF,1,213.01
ZYLET,1,9153.75
AROMASIN,1,8241.69
H.P. ACTHAR,1,702776.48
LASTACAFT,3,8709.369999999999
KIONEX,2,1324.76
FELBAMATE,3,24488.72
FLUOCINOLONE ACETONIDE OIL,4,13615.41
ZENPEP,7,59752.88
CATAPRES-TTS 3,1,5745.12
BUTORPHANOL TARTRATE,3,7484.28
LUPRON DEPOT,1,188437.59
FROVA,1,8296.33
BACITRACIN,5,12752.07
AVAPRO,3,6698.44
DEPAKOTE SPRINKLE,4,16417.940000000002
EASY COMFORT INSULIN SYRINGE,4,2467.08
SUBSYS,3,1670264.63
HORIZANT,2,4986.719999999999
AMOXAPINE,2,1339.48
NORA-BE,1,172.26
PREPLUS,2,467.90999999999997
TIVICAY,9,314743.14999999997
CYCLOSET,1,2136.16
ADCIRCA,2,229215.26
TRINESSA,3,483.03
HYDROCORTISONE BUTYRATE,2,3401.76
AVONEX,10,1374108.37
RIFAMPIN,9,6702.27
METHOTREXATE SODIUM,6,1867.47
ZOLOFT,2,8074.0599999999995
VELPHORO,4,163582.62
GEMCITABINE HCL,1,2092.59
ALCLOMETASONE DIPROPIONATE,4,5916.4400000000005
RENACIDIN,2,4781.93
M-M-R II VACCINE,1,969.67
KEPPRA XR,5,68025.3
EFFEXOR XR,7,36891.99
AVIANE,2,553.87
NECON,6,1668.3799999999999
LAMICTAL ODT,1,4302.38
CLARINEX,1,2192.38
VERAPAMIL ER PM,8,15135.489999999998
POTIGA,1,11464.87
TAZORAC,1,11240.48
GILDESS,3,517.46
AMBIEN CR,2,11893.220000000001
ASCOMP WITH CODEINE,2,2904.9
DEXTROAMPHETAMINE SULFATE,4,6030.629999999999
IBRANCE,4,757701.64
ERYTHROMYCIN-BENZOYL PEROXIDE,2,1900.05
FOSINOPRIL-HYDROCHLOROTHIAZIDE,5,2976.07
STALEVO 150,1,8062.8
DIOVAN HCT,3,10380.279999999999
SALSALATE,3,17046.64
RITUXAN,2,155606.22999999998
ZOCOR,3,5377.09
METHSCOPOLAMINE BROMIDE,1,1728.36
PREVALITE,5,8391.6
SUPRAX,1,3668.73
ARCAPTA NEOHALER,1,4721.51
RIFABUTIN,2,13408.55
ZESTRIL,1,3559.56
EPINASTINE HCL,4,6537.03
COSENTYX PEN (2 PENS),1,97640.95
HYZAAR,2,5730.360000000001
AK-POLY-BAC,1,283.04
PROAIR RESPICLICK,1,714.86
TEKTURNA HCT,2,8062.780000000001
THEOPHYLLINE,4,3606.7299999999996
BANZEL,2,81091.83
TOBRAMYCIN SULFATE,3,11249.27
FLURAZEPAM HCL,7,1712.97
VGO 30,3,10949.87
AMOXICILLIN-CLAVULANATE POT ER,1,1040.09
LYNPARZA,1,91943.1
MONONESSA,3,478.28
ULTRA COMFORT,3,543.12
NARATRIPTAN HCL,5,13690.08
EGRIFTA,1,38616.7
VGO 20,1,4567.11
TRI-SPRINTEC,2,354.97
DEPAKENE,1,6608.17
PIRMELLA,1,109.2
BETOPTIC S,2,11027.02
TOBRADEX,2,7314.59
MS CONTIN,1,15488.74
JUBLIA,1,5743.68
SANDOSTATIN LAR,1,60083.33
FLAVOXATE HCL,1,666.79
IMIPRAMINE PAMOATE,1,6208.6
LOVAZA,6,34271.840000000004
SIROLIMUS,4,41882.72
AMPICILLIN SODIUM,2,4681.889999999999
CARDIZEM LA,2,4113.51
NIACOR,2,571.61
PENNSAID,1,72386.22
LEVORA-28,2,426.08000000000004
CARBIDOPA,2,9784.21
WATER,1,437.87
ACTEMRA,3,410994.07000000007
APTIOM,2,32669.629999999997
STELARA,2,550068.47
TRULICITY,4,40769.170000000006
TESTOSTERONE,5,30475.700000000004
SODIUM POLYSTYRENE SULFONATE,3,7703.91
RAYOS,1,70169.13
AMETHYST,2,1129.44
SELEGILINE HCL,3,9768.050000000001
INTRON A,1,2280.13
PAXIL CR,1,3261.45
BETIMOL,3,5745.0
FLUVASTATIN SODIUM,3,3902.84
ERYTHROCIN STEARATE,1,6275.22
PERFOROMIST,2,17163.33
HUMALOG MIX 50-50 KWIKPEN,1,20334.8
GRANIX,1,21533.68
CELLCEPT,1,33509.88
DIFLORASONE DIACETATE,2,6307.35
EVOXAC,1,5165.29
ALOXI,1,24867.25
BUTALB-CAFF-ACETAMINOPH-CODEIN,7,15927.41
ALYACEN,1,218.11
LAMICTAL XR,5,95494.09
ISONIAZID,4,434.96999999999997
MYSOLINE,2,126916.12
FLUOCINONIDE-E,3,5730.38
POLYCIN,1,251.28
ITRACONAZOLE,3,9382.8
FENTANYL CITRATE,2,20249.899999999998
DEXAMETHASONE SODIUM PHOSPHATE,2,1631.28
LEVITRA,1,2797.24
METAPROTERENOL SULFATE,1,1080.2
BROVANA,1,8579.6
INVOKAMET,2,13438.82
CORDRAN,3,7374.76
ALINIA,1,9402.6
EDARBI,2,13373.869999999999
TRIMETHOBENZAMIDE HCL,1,539.76
FEMHRT,1,1064.18
MOVANTIK,1,1653.09
NITROGLYCERIN,1,3957.86
FLUTAMIDE,3,4359.43
ELIDEL,1,2644.84
QNASL,3,11195.77
EPIVIR,1,871.24
CLIMARA,1,3569.57
FINACEA,1,3016.67
NIZATIDINE,2,408.03000000000003
SRONYX,2,323.26
ULTRAM ER,1,5479.09
INFANRIX DTAP,1,704.32
DISOPYRAMIDE PHOSPHATE,4,3187.4100000000003
PROCHLORPERAZINE,2,4464.86
LEVEMIR FLEXPEN,1,9618.98
CANDESARTAN-HYDROCHLOROTHIAZID,2,2120.45
JUNEL,2,598.27
CLOZARIL,2,40509.66
NITRO-BID,1,462.72
TREXIMET,2,16027.91
LAMIVUDINE HBV,3,30331.18
ZOLMITRIPTAN ODT,1,1421.01
CYCLOPHOSPHAMIDE,1,11715.96
ALCOHOL PREP SWABS,1,55.91
PREPOPIK,3,5712.09
DAKLINZA,1,271917.26
NORTREL,1,420.0
ADVOCATE SYRINGES,1,610.32
FALMINA,2,404.85
PROPYLTHIOURACIL,6,7695.969999999999
ZYCLARA,1,24340.38
DIPHENHYDRAMINE HCL,2,947.03
CLOZAPINE ODT,2,11116.78
DEXTROAMPHETAMINE SULFATE ER,4,6889.02
OSMOPREP,1,2019.75
BARACLUDE,3,44731.509999999995
ALPRAZOLAM XR,1,402.42
INDERAL LA,1,6612.19
PREDNISOLONE,3,583.6500000000001
NALBUPHINE HCL,1,3219.06
KALYDECO,1,265892.62
DIPENTUM,1,4220.36
GILOTRIF,1,115553.31
METHADONE INTENSOL,1,1196.48
FOCALIN XR,2,6451.5
ZOHYDRO ER,1,5100.6
CARBATROL,6,13687.779999999999
FLURBIPROFEN SODIUM,1,1316.1
LO LOESTRIN FE,1,1295.45
RYTARY,2,18461.18
APRI,1,314.57
INCONTROL PEN NEEDLE,1,1381.86
AMIKACIN SULFATE,2,6356.19
GLUCOTROL,1,702.82
NICARDIPINE HCL,2,5431.89
XIGDUO XR,1,5801.96
TIROSINT,3,7314.900000000001
TRUSOPT,1,945.24
MONO-LINYAH,1,101.9
ESBRIET,2,472212.96
PROTOPIC,1,9299.4
REQUIP,1,1593.73
ZORVOLEX,1,979.25
CLOCORTOLONE PIVALATE,1,4889.71
SURE COMFORT ALCOHOL,3,1035.73
NAPHAZOLINE HCL,1,1702.66
"PANCRELIPASE 5,000",2,1138.24
ZELBORAF,1,55499.37
CLINPRO 5000,1,107.49
CLARITHROMYCIN ER,3,3526.6099999999997
OXYCODONE HCL-ASPIRIN,2,1404.6799999999998
REXULTI,1,19199.23
EASY-TOUCH INSULIN SYRINGE,1,417.86
ACIPHEX,3,24823.26
MENEST,1,557.15
VOL-PLUS,4,1654.8999999999999
RISEDRONATE SODIUM DR,4,19283.979999999996
DIFLUNISAL,2,3881.51
BUTALBITAL-ACETAMINOPHEN,1,951.61
VALGANCICLOVIR HCL,1,141649.8
GLUCOPHAGE,1,373.68
TRANYLCYPROMINE SULFATE,2,9341.279999999999
XGEVA,1,24210.6
QUININE SULFATE,2,3732.21
TAFINLAR,1,383220.25
XOLAIR,2,60906.56
DEPO-TESTOSTERONE,1,1255.43
RENAL CAPS,1,220.56
MICROGESTIN FE,2,426.47
BACTROBAN NASAL,1,2030.35
IMITREX,2,44875.44
ORKAMBI,1,365639.88
PHOSLYRA,2,9166.71
GUANFACINE HCL ER,1,3108.32
SIMPONI,2,135028.62
MONOJECT INSULIN SYRINGE,2,2258.0699999999997
SODIUM THIOSULFATE,1,2954.89
ETIDRONATE DISODIUM,1,3216.29
ANTARA,1,67606.08
UROCIT-K,1,5301.9
GAMMAGARD LIQUID,3,381078.97
METHYLPHENIDATE LA,1,3062.3
PHOSPHA 250 NEUTRAL,1,480.94
CAPTOPRIL-HYDROCHLOROTHIAZIDE,2,1369.31
ACAMPROSATE CALCIUM,3,6617.460000000001
MYZILRA,1,285.61
LAMOTRIGINE ODT,1,12508.34
AVINZA,1,6624.0
MIDAZOLAM HCL,1,300.09
PEGANONE,1,6289.57
VESTURA,1,623.05
COMBIPATCH,1,2266.22
BACITRACIN-POLYMYXIN,2,2030.84
OCTREOTIDE ACETATE,1,2334.66
AUBAGIO,2,316193.05
OPSUMIT,3,558249.75
VIBRAMYCIN,1,1024.73
TRILYTE WITH FLAVOR PACKETS,1,379.31
COMBIVIR,1,9955.55
DEPO-ESTRADIOL,1,976.59
ZIPSOR,1,4595.85
DIDANOSINE,1,4015.2
ANZEMET,1,36654.96
FENTORA,2,283733.67000000004
TOBRADEX ST,1,6888.47
OXYTROL,1,6179.53
VICODIN,1,182.8
FONDAPARINUX SODIUM,3,89922.70999999999
HYDROCORTISONE-ACETIC ACID,1,3599.43
DENTAGEL,2,216.34
MOXEZA,1,5976.61
ALCOHOL SWAB,1,84.0
VIRT NATE,1,0.0
CILOXAN,1,6011.8
CADUET,2,7533.99
SANCUSO,1,16903.12
MAXALT,1,7989.32
QUINIDINE SULFATE,1,228.0
GAMUNEX-C,1,165532.25
MENOSTAR,1,1366.98
ZEGERID,1,15763.1
STROMECTOL,2,9683.640000000001
LOW-OGESTREL,1,176.93
RELION PEN NEEDLES,1,203.6
PREVIDENT 5000,1,189.2
PAXIL,1,3978.44
BETAPACE,1,6546.83
AMCINONIDE,1,4256.43
AMRIX,1,11219.44
NIASPAN,3,22126.34
AMBIEN,2,13841.05
ELIXOPHYLLIN,1,1969.97
CLARINEX-D 12 HOUR,1,3483.91
UNIFINE PENTIPS PLUS,1,93.96
PAZEO,1,1669.77
VECTICAL,1,1974.87
AMPICILLIN-SULBACTAM,1,1109.73
ACTOS,1,6146.73
CARDIZEM CD,1,25219.4
VALCHLOR,1,226757.7
MINIVELLE,1,1760.73
APOKYN,1,196538.43
KLOR-CON,1,3625.41
NUVARING,1,1430.83
AVALIDE,1,1905.97
ERY-TAB,1,5030.5
EXFORGE HCT,2,12331.74
GENOTROPIN,1,9876.67
NEULASTA,2,252678.87
TRAVASOL,1,2025.46
VALCYTE,2,59879.149999999994
DANAZOL,1,5369.0
KADIAN,1,12557.0
EASY TOUCH INSULIN SAFETY,1,448.52
EDLUAR,1,5388.46
CALAN SR,1,3875.83
NICOTROL,1,8077.3
RESTORIL,1,6168.87
PREMPHASE,1,1788.91
RECLIPSEN,1,168.38
FLURBIPROFEN,1,218.69
PENTAZOCINE-NALOXONE HCL,1,2046.65
LEVONEST,1,143.63
PICATO,1,8754.54
RYTHMOL SR,1,4811.88
SULFATRIM,1,2617.72
FML FORTE,1,1900.43
ZYPREXA RELPREVV,1,13721.16
GILDESS FE,1,320.08
GLUCOTROL XL,1,1454.89
ERRIN,1,188.32
DENAVIR,1,9502.5
EPOGEN,1,4064.89
LOVENOX,2,13777.849999999999
ATOVAQUONE-PROGUANIL HCL,1,2741.31
NAFTIN,1,5688.6
CEFAZOLIN SODIUM,2,1432.0
MONUROL,1,1848.88
AZACTAM-ISO-OSMOTIC DEXTROSE,1,8348.6
PROVIGIL,1,29727.0
